combine_file,combine_year,combine_player,best_ratio_seen,note,matched_athlete_id
2002.csv,2002,Derrius Monroe,,no confident match (NFL_id=N/A),
2002.csv,2002,Victor Rogers,,no confident match (NFL_id=N/A),
2002.csv,2002,Greg Scott,,no confident match (NFL_id=N/A),
2002.csv,2002,Luke Staley,,no confident match (NFL_id=N/A),
2002.csv,2002,Bryan Thomas,,fetch_failed: HTTPError: 500 Server Error: Internal Server Error for url: https://site.web.api.espn.com/apis/common/v3/sports/football/nfl/athletes/4836472/stats?region=us&lang=en&contentorigin=espn,4836472.0
2002.csv,2002,Tracey Wistrom,,no confident match (NFL_id=N/A),
2003.csv,2003,Justin Bates,,no confident match (NFL_id=N/A),
2003.csv,2003,Ben Claxton,,no confident match (NFL_id=N/A),
2003.csv,2003,Dan Curley,,no confident match (NFL_id=N/A),
2003.csv,2003,Brennan Curtin,,no confident match (NFL_id=N/A),
2003.csv,2003,Charles Drake,,no confident match (NFL_id=N/A),
2003.csv,2003,Brandon Drumm,,no confident match (NFL_id=N/A),
2003.csv,2003,Ahmaad Galloway,,no confident match (NFL_id=N/A),
2003.csv,2003,Ryan Hoag,,no confident match (NFL_id=N/A),
2003.csv,2003,Aaron Hunt,,no confident match (NFL_id=N/A),
2003.csv,2003,Ben Johnson,,no confident match (NFL_id=N/A),
2003.csv,2003,Kareem Kelly,,no confident match (NFL_id=N/A),
2003.csv,2003,Austin King,,no confident match (NFL_id=N/A),
2003.csv,2003,Scott Kooistra,,no confident match (NFL_id=N/A),
2003.csv,2003,Malaefou MacKenzie,,no confident match (NFL_id=N/A),
2003.csv,2003,Bryant McNeal,,no confident match (NFL_id=N/A),
2003.csv,2003,Clint Mitchell,,no confident match (NFL_id=N/A),
2003.csv,2003,Casey Moore,,no confident match (NFL_id=N/A),
2003.csv,2003,Bruce Nelson,,no confident match (NFL_id=N/A),
2003.csv,2003,Lance Nimmo,,no confident match (NFL_id=N/A),
2003.csv,2003,Tim Provost,,no confident match (NFL_id=N/A),
2003.csv,2003,Dustin Rykert,,no confident match (NFL_id=N/A),
2003.csv,2003,Antwoine Sanders,,no confident match (NFL_id=N/A),
2003.csv,2003,Ben Sobieski,,no confident match (NFL_id=N/A),
2003.csv,2003,Jon Stinchcomb,,no confident match (NFL_id=N/A),
2003.csv,2003,Scott Tercero,,no confident match (NFL_id=N/A),
2003.csv,2003,J.R. Tolver,,no confident match (NFL_id=N/A),
2003.csv,2003,Dennis Weathersby,,no confident match (NFL_id=N/A),
2003.csv,2003,Taylor Whitley,,no confident match (NFL_id=N/A),
2003.csv,2003,Brett Williams,,no confident match (NFL_id=N/A),
2003.csv,2003,Todd Williams,,no confident match (NFL_id=N/A),
2004.csv,2004,Derek Abney,,no confident match (NFL_id=N/A),
2004.csv,2004,Nathaniel Adibi,,no confident match (NFL_id=N/A),
2004.csv,2004,Tony Bua,,no confident match (NFL_id=N/A),
2004.csv,2004,Sean Bubin,,no confident match (NFL_id=N/A),
2004.csv,2004,Marko Cavka,,no confident match (NFL_id=N/A),
2004.csv,2004,Adrien Clarke,,no confident match (NFL_id=N/A),
2004.csv,2004,Trey Darilek,,no confident match (NFL_id=N/A),
2004.csv,2004,Nat Dorsey,,no confident match (NFL_id=N/A),
2004.csv,2004,Vontez Duff,,no confident match (NFL_id=N/A),
2004.csv,2004,Derrick Hamilton,,no confident match (NFL_id=N/A),
2004.csv,2004,Claude Harriott,,no confident match (NFL_id=N/A),
2004.csv,2004,Isaac Hilton,,no confident match (NFL_id=N/A),
2004.csv,2004,Shawn Johnson,,no confident match (NFL_id=N/A),
2004.csv,2004,Carlos Joseph,,no confident match (NFL_id=N/A),
2004.csv,2004,David Kimball,,no confident match (NFL_id=N/A),
2004.csv,2004,Jeremy LeSueur,,no confident match (NFL_id=N/A),
2004.csv,2004,Maurice Mann,,no confident match (NFL_id=N/A),
2004.csv,2004,Dylan McFarland,,no confident match (NFL_id=N/A),
2004.csv,2004,Jeris McIntyre,,no confident match (NFL_id=N/A),
2004.csv,2004,Tony Pape,,no confident match (NFL_id=N/A),
2004.csv,2004,Robert Reynolds,,no confident match (NFL_id=N/A),
2004.csv,2004,Brian Rimpf,,no confident match (NFL_id=N/A),
2004.csv,2004,Jacob Rogers,,no confident match (NFL_id=N/A),
2004.csv,2004,P.K. Sam,,no confident match (NFL_id=N/A),
2004.csv,2004,Josh Sewell,,no confident match (NFL_id=N/A),
2004.csv,2004,Jeff Smoker,,no confident match (NFL_id=N/A),
2004.csv,2004,Alex Stepanovich,,no confident match (NFL_id=N/A),
2004.csv,2004,Drew Strojny,,no confident match (NFL_id=N/A),
2004.csv,2004,B.J. Symons,,no confident match (NFL_id=N/A),
2004.csv,2004,Jeb Terry,,no confident match (NFL_id=N/A),
2004.csv,2004,Donnell Washington,,no confident match (NFL_id=N/A),
2004.csv,2004,Benjamin Watson,,no confident match (NFL_id=N/A),
2004.csv,2004,Mark Wilson,,no confident match (NFL_id=N/A),
2005.csv,2005,Anthony Alabi,,no confident match (NFL_id=N/A),
2005.csv,2005,Calvin Armstrong,,no confident match (NFL_id=N/A),
2005.csv,2005,O.J. Atogwe,,no confident match (NFL_id=N/A),
2005.csv,2005,Ronald Bartell,,no confident match (NFL_id=N/A),
2005.csv,2005,Justin Beriault,,no confident match (NFL_id=N/A),
2005.csv,2005,Craig Bragg,,no confident match (NFL_id=N/A),
2005.csv,2005,Vincent Burns,,no confident match (NFL_id=N/A),
2005.csv,2005,Maurice Clarett,,no confident match (NFL_id=N/A),
2005.csv,2005,Ryan Claridge,,no confident match (NFL_id=N/A),
2005.csv,2005,Jerome Collins,,no confident match (NFL_id=N/A),
2005.csv,2005,Chris Colmer,,no confident match (NFL_id=N/A),
2005.csv,2005,Junius Coston,,no confident match (NFL_id=N/A),
2005.csv,2005,Airese Currie,,no confident match (NFL_id=N/A),
2005.csv,2005,Jon Dunn,,no confident match (NFL_id=N/A),
2005.csv,2005,Trai Essex,,no confident match (NFL_id=N/A),
2005.csv,2005,Lionel Gates,,no confident match (NFL_id=N/A),
2005.csv,2005,Justin Geisinger,,no confident match (NFL_id=N/A),
2005.csv,2005,Fred Gibson,,no confident match (NFL_id=N/A),
2005.csv,2005,David Greene,,no confident match (NFL_id=N/A),
2005.csv,2005,Drew Hodgdon,,no confident match (NFL_id=N/A),
2005.csv,2005,Alphonso Hodge,,no confident match (NFL_id=N/A),
2005.csv,2005,Tony Jackson,,no confident match (NFL_id=N/A),
2005.csv,2005,Nick Kaczur,,no confident match (NFL_id=N/A),
2005.csv,2005,Adam Kieft,,no confident match (NFL_id=N/A),
2005.csv,2005,Stefan LeFors,,no confident match (NFL_id=N/A),
2005.csv,2005,Khari Long,,no confident match (NFL_id=N/A),
2005.csv,2005,Chase Lyman,,no confident match (NFL_id=N/A),
2005.csv,2005,Andre Maddox,,no confident match (NFL_id=N/A),
2005.csv,2005,Pete McMahon,,no confident match (NFL_id=N/A),
2005.csv,2005,Adrian McPherson,,no confident match (NFL_id=N/A),
2005.csv,2005,Mike Montgomery,,no confident match (NFL_id=N/A),
2005.csv,2005,Jared Newberry,,no confident match (NFL_id=N/A),
2005.csv,2005,Doug Nienhuis,,no confident match (NFL_id=N/A),
2005.csv,2005,Jeremy Parquet,,no confident match (NFL_id=N/A),
2005.csv,2005,Rob Petitti,,no confident match (NFL_id=N/A),
2005.csv,2005,Kenneth Pettway,,no confident match (NFL_id=N/A),
2005.csv,2005,Sione Pouha,,no confident match (NFL_id=N/A),
2005.csv,2005,J.R. Russell,,no confident match (NFL_id=N/A),
2005.csv,2005,Wes Sims,,no confident match (NFL_id=N/A),
2005.csv,2005,Bill Swancutt,,no confident match (NFL_id=N/A),
2005.csv,2005,Jimmy Verdon,,no confident match (NFL_id=N/A),
2005.csv,2005,Manuel White,,no confident match (NFL_id=N/A),
2005.csv,2005,Scott Young,,no confident match (NFL_id=N/A),
2006.csv,2006,Jeremy Bloom,,no confident match (NFL_id=N/A),
2006.csv,2006,Rashad Butler,,no confident match (NFL_id=N/A),
2006.csv,2006,P.J. Daniels,,no confident match (NFL_id=N/A),
2006.csv,2006,Charles Davis,,no confident match (NFL_id=N/A),
2006.csv,2006,Greg Eslinger,,no confident match (NFL_id=N/A),
2006.csv,2006,Mike Hass,,no confident match (NFL_id=N/A),
2006.csv,2006,Cedric Humes,,no confident match (NFL_id=N/A),
2006.csv,2006,Omar Jacobs,,no confident match (NFL_id=N/A),
2006.csv,2006,David Kirtman,,no confident match (NFL_id=N/A),
2006.csv,2006,Josh Lay,,no confident match (NFL_id=N/A),
2006.csv,2006,Jimmy Martin,,no confident match (NFL_id=N/A),
2006.csv,2006,Tim Massaquoi,,no confident match (NFL_id=N/A),
2006.csv,2006,Fred Matua,,no confident match (NFL_id=N/A),
2006.csv,2006,Marcus Maxey,,no confident match (NFL_id=N/A),
2006.csv,2006,Dee McCann,,no confident match (NFL_id=N/A),
2006.csv,2006,Gerrick McPhearson,,no confident match (NFL_id=N/A),
2006.csv,2006,DeMario Minter,,no confident match (NFL_id=N/A),
2006.csv,2006,A.J. Nicholson,,no confident match (NFL_id=N/A),
2006.csv,2006,Ryan O'Callaghan,,no confident match (NFL_id=N/A),
2006.csv,2006,Jonathan Orr,,no confident match (NFL_id=N/A),
2006.csv,2006,Babatunde Oshinowo,,no confident match (NFL_id=N/A),
2006.csv,2006,Terrance Pennington,,no confident match (NFL_id=N/A),
2006.csv,2006,Marvin Philip,,no confident match (NFL_id=N/A),
2006.csv,2006,Cory Rodgers,,no confident match (NFL_id=N/A),
2006.csv,2006,D.J. Shockley,,no confident match (NFL_id=N/A),
2006.csv,2006,Kevin Simon,,no confident match (NFL_id=N/A),
2006.csv,2006,Charles Spencer,,no confident match (NFL_id=N/A),
2006.csv,2006,Dan Stevenson,,no confident match (NFL_id=N/A),
2006.csv,2006,Joe Toledo,,no confident match (NFL_id=N/A),
2006.csv,2006,Michael Toudouze,,no confident match (NFL_id=N/A),
2006.csv,2006,E.J. Whitley,,no confident match (NFL_id=N/A),
2006.csv,2006,T.J. Williams,,no confident match (NFL_id=N/A),
2006.csv,2006,Alan Zemaitis,,no confident match (NFL_id=N/A),
2007.csv,2007,Rufus Alexander,,no confident match (NFL_id=N/A),
2007.csv,2007,Michael Allan,,no confident match (NFL_id=N/A),
2007.csv,2007,Andy Alleman,,no confident match (NFL_id=N/A),
2007.csv,2007,Dan Bazuin,,no confident match (NFL_id=N/A),
2007.csv,2007,Kareem Brown,,no confident match (NFL_id=N/A),
2007.csv,2007,Andrew Carnahan,,no confident match (NFL_id=N/A),
2007.csv,2007,Doug Datish,,no confident match (NFL_id=N/A),
2007.csv,2007,A.J. Davis,,no confident match (NFL_id=N/A),
2007.csv,2007,Chris Denman,,no confident match (NFL_id=N/A),
2007.csv,2007,Joel Filani,,no confident match (NFL_id=N/A),
2007.csv,2007,Dustin Fry,,no confident match (NFL_id=N/A),
2007.csv,2007,Brandon Frye,,no confident match (NFL_id=N/A),
2007.csv,2007,C.J. Gaddis,,no confident match (NFL_id=N/A),
2007.csv,2007,Nate Ilaoa,,no confident match (NFL_id=N/A),
2007.csv,2007,Kenny Irons,,no confident match (NFL_id=N/A),
2007.csv,2007,Keith Jackson,,no confident match (NFL_id=N/A),
2007.csv,2007,James Marten,,no confident match (NFL_id=N/A),
2007.csv,2007,Jay Moore,,no confident match (NFL_id=N/A),
2007.csv,2007,Drew Mormino,,no confident match (NFL_id=N/A),
2007.csv,2007,Michael Okwo,,no confident match (NFL_id=N/A),
2007.csv,2007,Chase Pittman,,no confident match (NFL_id=N/A),
2007.csv,2007,Jeff Rowe,,no confident match (NFL_id=N/A),
2007.csv,2007,Dan Santucci,,no confident match (NFL_id=N/A),
2007.csv,2007,Dallas Sartz,,no confident match (NFL_id=N/A),
2007.csv,2007,Ken Shackleford,,no confident match (NFL_id=N/A),
2007.csv,2007,Cameron Stephenson,,no confident match (NFL_id=N/A),
2007.csv,2007,Tony Ugoh,,no confident match (NFL_id=N/A),
2007.csv,2007,Chandler Williams,,no confident match (NFL_id=N/A),
2007.csv,2007,Abraham Wright,,no confident match (NFL_id=N/A),
2007.csv,2007,Mansfield Wrotto,,no confident match (NFL_id=N/A),
2008.csv,2008,Erik Ainge,,no confident match (NFL_id=N/A),
2008.csv,2008,Kirk Barton,,no confident match (NFL_id=N/A),
2008.csv,2008,Cory Boyd,,no confident match (NFL_id=N/A),
2008.csv,2008,Colt Brennan,,no confident match (NFL_id=N/A),
2008.csv,2008,Alex Brink,,no confident match (NFL_id=N/A),
2008.csv,2008,Thomas Brown,,no confident match (NFL_id=N/A),
2008.csv,2008,Andre Caldwell,,no confident match (NFL_id=N/A),
2008.csv,2008,Corey Clark,,no confident match (NFL_id=N/A),
2008.csv,2008,Angelo Craig,,no confident match (NFL_id=N/A),
2008.csv,2008,Wilrey Fontenot,,no confident match (NFL_id=N/A),
2008.csv,2008,David Hale,,no confident match (NFL_id=N/A),
2008.csv,2008,Justin Harper,,no confident match (NFL_id=N/A),
2008.csv,2008,Marcus Henry,,no confident match (NFL_id=N/A),
2008.csv,2008,Tony Hills,,no confident match (NFL_id=N/A),
2008.csv,2008,Mike Humpal,,no confident match (NFL_id=N/A),
2008.csv,2008,Jack Ikegwuonu,,no confident match (NFL_id=N/A),
2008.csv,2008,Steve Justice,,no confident match (NFL_id=N/A),
2008.csv,2008,Marcus Monk,,no confident match (NFL_id=N/A),
2008.csv,2008,Kenneth Moore,,no confident match (NFL_id=N/A),
2008.csv,2008,Shawn Murphy,,no confident match (NFL_id=N/A),
2008.csv,2008,Allen Patrick,,no confident match (NFL_id=N/A),
2008.csv,2008,Tyler Schmitt,,no confident match (NFL_id=N/A),
2008.csv,2008,Roy Schuening,,no confident match (NFL_id=N/A),
2008.csv,2008,Arman Shields,,no confident match (NFL_id=N/A),
2008.csv,2008,DeJuan Tribble,,no confident match (NFL_id=N/A),
2008.csv,2008,Mario Urrutia,,no confident match (NFL_id=N/A),
2008.csv,2008,Andre Woodson,,no confident match (NFL_id=N/A),
2009.csv,2009,Rhett Bomar,,no confident match (NFL_id=N/A),
2009.csv,2009,Robert Brewster,,no confident match (NFL_id=N/A),
2009.csv,2009,Cody Brown,,no confident match (NFL_id=N/A),
2009.csv,2009,Demetrius Byrd,,no confident match (NFL_id=N/A),
2009.csv,2009,Trevor Canfield,,no confident match (NFL_id=N/A),
2009.csv,2009,Don Carey,,no confident match (NFL_id=N/A),
2009.csv,2009,Davon Drew,,no confident match (NFL_id=N/A),
2009.csv,2009,Dominique Edison,,no confident match (NFL_id=N/A),
2009.csv,2009,Brooks Foster,,no confident match (NFL_id=N/A),
2009.csv,2009,Marcus Freeman,,no confident match (NFL_id=N/A),
2009.csv,2009,Xavier Fulton,,no confident match (NFL_id=N/A),
2009.csv,2009,Michael Hamlin,,no confident match (NFL_id=N/A),
2009.csv,2009,Stephen Hodge,,no confident match (NFL_id=N/A),
2009.csv,2009,Cornelius Ingram,,no confident match (NFL_id=N/A),
2009.csv,2009,Jake Ingram,,no confident match (NFL_id=N/A),
2009.csv,2009,Herman Johnson,,no confident match (NFL_id=N/A),
2009.csv,2009,Troy Kropog,,no confident match (NFL_id=N/A),
2009.csv,2009,Jonathan Luigs,,no confident match (NFL_id=N/A),
2009.csv,2009,Jamon Meredith,,no confident match (NFL_id=N/A),
2009.csv,2009,Mike Mickens,,no confident match (NFL_id=N/A),
2009.csv,2009,Ryan Mouton,,no confident match (NFL_id=N/A),
2009.csv,2009,Lydon Murtha,,no confident match (NFL_id=N/A),
2009.csv,2009,Seth Olsen,,no confident match (NFL_id=N/A),
2009.csv,2009,Darryl Richard,,no confident match (NFL_id=N/A),
2009.csv,2009,Duke Robinson,,no confident match (NFL_id=N/A),
2009.csv,2009,Stryker Sulak,,no confident match (NFL_id=N/A),
2009.csv,2009,Terrance Taylor,,no confident match (NFL_id=N/A),
2009.csv,2009,Jaimie Thomas,,no confident match (NFL_id=N/A),
2009.csv,2009,Fenuki Tupou,,no confident match (NFL_id=N/A),
2009.csv,2009,DeAndre Wright,,no confident match (NFL_id=N/A),
2010.csv,2010,Brent Bowden,,no confident match (NFL_id=N/A),
2010.csv,2010,Nate Byham,,no confident match (NFL_id=N/A),
2010.csv,2010,Kyle Calloway,,no confident match (NFL_id=N/A),
2010.csv,2010,Bruce Campbell,,no confident match (NFL_id=N/A),
2010.csv,2010,Sean Canfield,,no confident match (NFL_id=N/A),
2010.csv,2010,Selvish Capers,,no confident match (NFL_id=N/A),
2010.csv,2010,Hall Davis,,no confident match (NFL_id=N/A),
2010.csv,2010,Anthony Dixon,,no confident match (NFL_id=N/A),
2010.csv,2010,David Gettis,,no confident match (NFL_id=N/A),
2010.csv,2010,Chad Jones,,no confident match (NFL_id=N/A),
2010.csv,2010,Jammie Kirlew,,no confident match (NFL_id=N/A),
2010.csv,2010,Dan LeFevour,,no confident match (NFL_id=N/A),
2010.csv,2010,Kerry Meier,,no confident match (NFL_id=N/A),
2010.csv,2010,Eric Olsen,,no confident match (NFL_id=N/A),
2010.csv,2010,Jeff Owens,,no confident match (NFL_id=N/A),
2010.csv,2010,Mitch Petrus,,no confident match (NFL_id=N/A),
2010.csv,2010,Zac Robinson,,no confident match (NFL_id=N/A),
2010.csv,2010,Myron Rolle,,no confident match (NFL_id=N/A),
2010.csv,2010,Charles Scott,,no confident match (NFL_id=N/A),
2010.csv,2010,Shelley Smith,,no confident match (NFL_id=N/A),
2010.csv,2010,Matt Tennant,,no confident match (NFL_id=N/A),
2010.csv,2010,Ed Wang,,no confident match (NFL_id=N/A),
2010.csv,2010,Thomas Welch,,no confident match (NFL_id=N/A),
2011.csv,2011,David Arkin,,no confident match (NFL_id=N/A),
2011.csv,2011,Jon Baldwin,,no confident match (NFL_id=N/A),
2011.csv,2011,Jeremy Beal,,no confident match (NFL_id=N/A),
2011.csv,2011,James Brewer,,no confident match (NFL_id=N/A),
2011.csv,2011,Ricky Elmore,,no confident match (NFL_id=N/A),
2011.csv,2011,Nathan Enderle,,no confident match (NFL_id=N/A),
2011.csv,2011,Ross Homan,,no confident match (NFL_id=N/A),
2011.csv,2011,Ronald Johnson,,no confident match (NFL_id=N/A),
2011.csv,2011,Mark LeGree,,no confident match (NFL_id=N/A),
2011.csv,2011,Greg Lloyd,,no confident match (NFL_id=N/A),
2011.csv,2011,DeMarcus Love,,no confident match (NFL_id=N/A),
2011.csv,2011,John Moffitt,,no confident match (NFL_id=N/A),
2011.csv,2011,Jason Pinkston,,no confident match (NFL_id=N/A),
2011.csv,2011,Will Rackley,,no confident match (NFL_id=N/A),
2011.csv,2011,Greg Romeus,,no confident match (NFL_id=N/A),
2011.csv,2011,Robert Sands,,no confident match (NFL_id=N/A),
2011.csv,2011,Steve Schilling,,no confident match (NFL_id=N/A),
2011.csv,2011,Caleb Schlauderaff,,no confident match (NFL_id=N/A),
2011.csv,2011,Ricky Stanzi,,no confident match (NFL_id=N/A),
2011.csv,2011,Quan Sturdivant,,no confident match (NFL_id=N/A),
2011.csv,2011,Julian Vandervelde,,no confident match (NFL_id=N/A),
2011.csv,2011,Danny Watkins,,no confident match (NFL_id=N/A),
2011.csv,2011,Markus White,,no confident match (NFL_id=N/A),
2011.csv,2011,Keith Williams,,no confident match (NFL_id=N/A),
2011.csv,2011,Lawrence Wilson,,no confident match (NFL_id=N/A),
2011.csv,2011,Lee Ziemba,,no confident match (NFL_id=N/A),
2012.csv,2012,Justin Anderson,,no confident match (NFL_id=N/A),
2012.csv,2012,Mark Asper,,no confident match (NFL_id=N/A),
2012.csv,2012,Jake Bequette,,no confident match (NFL_id=N/A),
2012.csv,2012,Tony Bergstrom,,no confident match (NFL_id=N/A),
2012.csv,2012,Philip Blake,,no confident match (NFL_id=N/A),
2012.csv,2012,Greg Childs,,no confident match (NFL_id=N/A),
2012.csv,2012,Danny Coale,,no confident match (NFL_id=N/A),
2012.csv,2012,B.J. Coleman,,no confident match (NFL_id=N/A),
2012.csv,2012,B.J. Cunningham,,no confident match (NFL_id=N/A),
2012.csv,2012,Andrew Datko,,no confident match (NFL_id=N/A),
2012.csv,2012,Drake Dunsmore,,no confident match (NFL_id=N/A),
2012.csv,2012,Terrance Ganaway,,no confident match (NFL_id=N/A),
2012.csv,2012,T.J. Graham,,no confident match (NFL_id=N/A),
2012.csv,2012,Trevor Guyton,,no confident match (NFL_id=N/A),
2012.csv,2012,Chandler Harnish,,no confident match (NFL_id=N/A),
2012.csv,2012,Dan Herron,,no confident match (NFL_id=N/A),
2012.csv,2012,LaMichael James,,no confident match (NFL_id=N/A),
2012.csv,2012,Marcel Jones,,no confident match (NFL_id=N/A),
2012.csv,2012,Josh Kaddu,,no confident match (NFL_id=N/A),
2012.csv,2012,Peter Konz,,no confident match (NFL_id=N/A),
2012.csv,2012,Josh LeRibeus,,no confident match (NFL_id=N/A),
2012.csv,2012,Markelle Martin,,no confident match (NFL_id=N/A),
2012.csv,2012,Caleb McSurdy,,no confident match (NFL_id=N/A),
2012.csv,2012,DeQuan Menzie,,no confident match (NFL_id=N/A),
2012.csv,2012,David Molk,,no confident match (NFL_id=N/A),
2012.csv,2012,Nate Potter,,no confident match (NFL_id=N/A),
2012.csv,2012,Zebrie Sanders,,no confident match (NFL_id=N/A),
2012.csv,2012,Amini Silatolu,,no confident match (NFL_id=N/A),
2012.csv,2012,Christian Thompson,,no confident match (NFL_id=N/A),
2012.csv,2012,Johnnie Troutman,,no confident match (NFL_id=N/A),
2012.csv,2012,Brandon Washington,,no confident match (NFL_id=N/A),
2012.csv,2012,Rokevious Watkins,,no confident match (NFL_id=N/A),
2013.csv,2013,Ziggy Ansah,,no confident match (NFL_id=N/A),
2013.csv,2013,Marc Anthony,,no confident match (NFL_id=N/A),
2013.csv,2013,Jeff Baca,,no confident match (NFL_id=N/A),
2013.csv,2013,Travis Bond,,no confident match (NFL_id=N/A),
2013.csv,2013,Alan Bonner,,no confident match (NFL_id=N/A),
2013.csv,2013,John Boyett,,no confident match (NFL_id=N/A),
2013.csv,2013,Everett Dawkins,,no confident match (NFL_id=N/A),
2013.csv,2013,Zac Dysert,,no confident match (NFL_id=N/A),
2013.csv,2013,Reid Fragel,,no confident match (NFL_id=N/A),
2013.csv,2013,Garrett Gilkey,,no confident match (NFL_id=N/A),
2013.csv,2013,Tanner Hawkinson,,no confident match (NFL_id=N/A),
2013.csv,2013,Terry Hawthorne,,no confident match (NFL_id=N/A),
2013.csv,2013,Brandon Hepburn,,no confident match (NFL_id=N/A),
2013.csv,2013,Eric Herman,,no confident match (NFL_id=N/A),
2013.csv,2013,Khaled Holmes,,no confident match (NFL_id=N/A),
2013.csv,2013,Jawan Jamison,,no confident match (NFL_id=N/A),
2013.csv,2013,D.C. Jefferson,,no confident match (NFL_id=N/A),
2013.csv,2013,T.J. Johnson,,no confident match (NFL_id=N/A),
2013.csv,2013,Barrett Jones,,no confident match (NFL_id=N/A),
